ts_local,ts_utc,bidding_zone,price_eur_mwh,resolution
2025-04-30 06:15,2025-04-30T04:15:00Z,DE-LU,87.54,PT15M
2025-08-15 06:00,2025-08-15T04:00:00Z,DE-LU,62.32,PT15M
2025-01-26 19:45,2025-01-26T18:45:00Z,DE-LU,123.84,PT15M
2025-04-24 19:15,2025-04-24T17:15:00Z,DE-LU,117.0,PT15M
2025-02-03 15:00,2025-02-03T14:00:00Z,DE-LU,96.19,PT15M
2025-12-15 00:45,2025-12-14T23:45:00Z,DE-LU,97.56,PT15M
2025-03-31 05:00,2025-03-31T03:00:00Z,DE-LU,90.92,PT15M
2025-05-25 00:30,2025-05-24T22:30:00Z,DE-LU,50.2,PT15M
2025-01-17 22:30,2025-01-17T21:30:00Z,DE-LU,82.72,PT15M
2025-01-10 20:15,2025-01-10T19:15:00Z,DE-LU,124.93,PT15M
2025-10-07 05:00,2025-10-07T03:00:00Z,DE-LU,49.79,PT15M
2025-12-16 20:45,2025-12-16T19:45:00Z,DE-LU,117.55,PT15M
2025-08-04 21:45,2025-08-04T19:45:00Z,DE-LU,77.26,PT15M
2025-08-27 03:15,2025-08-27T01:15:00Z,DE-LU,51.06,PT15M
2025-05-04 22:15,2025-05-04T20:15:00Z,DE-LU,77.61,PT15M
2025-10-17 17:15,2025-10-17T15:15:00Z,DE-LU,89.36,PT15M
2025-11-15 05:30,2025-11-15T04:30:00Z,DE-LU,83.81,PT15M
2025-02-27 13:45,2025-02-27T12:45:00Z,DE-LU,79.05,PT15M
2025-03-20 10:00,2025-03-20T09:00:00Z,DE-LU,92.57,PT15M
2025-03-21 23:30,2025-03-21T22:30:00Z,DE-LU,86.16,PT15M
2025-05-10 15:15,2025-05-10T13:15:00Z,DE-LU,47.35,PT15M
2025-09-14 00:15,2025-09-13T22:15:00Z,DE-LU,52.79,PT15M
2025-09-23 18:30,2025-09-23T16:30:00Z,DE-LU,116.31,PT15M
2025-01-06 15:00,2025-01-06T14:00:00Z,DE-LU,76.12,PT15M
2025-10-27 16:45,2025-10-27T15:45:00Z,DE-LU,83.37,PT15M
2025-10-22 00:30,2025-10-21T22:30:00Z,DE-LU,91.64,PT15M
2025-12-08 01:30,2025-12-08T00:30:00Z,DE-LU,101.59,PT15M
2025-08-20 01:00,2025-08-19T23:00:00Z,DE-LU,82.29,PT15M
2025-04-26 21:30,2025-04-26T19:30:00Z,DE-LU,70.92,PT15M
2025-06-07 09:00,2025-06-07T07:00:00Z,DE-LU,56.94,PT15M
2025-04-19 14:45,2025-04-19T12:45:00Z,DE-LU,-51.4,PT15M
2025-01-22 06:15,2025-01-22T05:15:00Z,DE-LU,113.96,PT15M
2025-05-04 11:00,2025-05-04T09:00:00Z,DE-LU,44.68,PT15M
2025-07-25 13:30,2025-07-25T11:30:00Z,DE-LU,10.88,PT15M
2025-03-15 21:30,2025-03-15T20:30:00Z,DE-LU,92.46,PT15M
2025-08-02 06:45,2025-08-02T04:45:00Z,DE-LU,77.2,PT15M
2025-10-10 16:00,2025-10-10T14:00:00Z,DE-LU,60.28,PT15M
2025-12-03 10:30,2025-12-03T09:30:00Z,DE-LU,88.57,PT15M
2025-06-07 20:15,2025-06-07T18:15:00Z,DE-LU,82.51,PT15M
2025-11-09 13:00,2025-11-09T12:00:00Z,DE-LU,59.7,PT15M
2025-11-06 04:30,2025-11-06T03:30:00Z,DE-LU,88.46,PT15M
