malo_id,interval_start_local,value,unit,status,source
70348049725,2025-02-09 14:15,"0,0657",KWH,V,MSCONS
02060690718,2025-03-27 02:15,1.0477,KWH,V,MSCONS
19754516392,2025-04-30 20:00,"0,6986",KWH,V,MSCONS
02060690718,2025-04-04 07:15,1.3713,KWH,V,MSCONS
52784051030,2025-03-23 22:15,0.0863,KWH,V,MSCONS
94391268065,2025-03-03 16:30,"0,0926",KWH,E,MSCONS
19754516392,30.04.2025 05:15,0.3944,KWH,V,MSCONS
13733263538,2025-03-15 19:45,1.2863,KWH,,MSCONS
51451020772,2025-04-14 03:15,0.8138,KWH,V,MSCONS
19754516392,07.03.2025 03:30,0.947,KWH,V,MSCONS
94391268065,2025-03-19 22:00,0.0541,KWH,V,MSCONS
51451020772,2025-04-23 00:30,0.4715,KWH,V,MSCONS
17417694597,2025-03-25 03:15,"1,0269",KWH,V,MSCONS
17417694597,2025-03-19 18:15,1.32,KWH,V,MSCONS
04014447556,2025-03-11 21:30,0.1222,KWH,V,MSCONS
13733263538,2025-03-23 11:15,0.561,KWH,V,MSCONS
52784051030,2025-04-24 02:15,0.0436,KWH,V,MSCONS
19754516392,2025-04-10 06:45,1.0688,KWH,V,MSCONS
61804172126,2025-02-08 20:30,1.6741,KWH,V,MSCONS
65720280897,2025-04-19 18:00,0.6524,KWH,V,MSCONS
53850487964,2025-02-24 23:45,"0,179",KW,V,MSCONS
59028472520,2025-04-16 04:00,0.0307,KWH,V,MSCONS
64853594978,2025-02-24 07:00,0.1392,KWH,V,MSCONS
48126289103,2025-03-17 18:45,0.7171,KW,V,MSCONS
66586652381,2025-03-26 09:45,"0,5164",KWH,V,MSCONS
66586652381,2025-02-20 06:45,0.8506,KWH,V,MSCONS
83482028030,2025-02-08 11:30,"0,0728",KWH,V,MSCONS
61804172126,2025-03-27 14:00,0.6448,KWH,V,MSCONS
83482028030,03.02.2025 23:00,"0,0543",KWH,V,MSCONS
83482028030,2025-03-31 18:30,0.1032,KWH,,MSCONS
19554292257,05.03.2025 15:45,0.3494,KWH,V,MSCONS
53850487964,2025-02-21 19:45,0.7035,KW,V,MSCONS
07412179067,2025-02-25 16:30,0.8996,KWH,V,MSCONS
48126289103,2025-03-21 06:30,"0,4086",KW,V,MSCONS
48126289103,2025-03-23 01:15,0.2443,KW,V,MSCONS
91797430928,2025-04-01 22:45,0.6836,KWH,V,MSCONS
61804172126,2025-04-08 08:00,0.8616,KWH,V,MSCONS
19754516392,2025-03-29 09:15,0.701,KWH,V,MSCONS
70348049725,2025-03-19 11:00,0.0524,KWH,V,MSCONS
51451020772,2025-04-22 14:30,0.369,KWH,V,MSCONS
94391268065,2025-02-17 19:30,-0.1001,KWH,,MSCONS
38141832343,2025-04-05 19:00,1.2516,KWH,V,MSCONS
65400074314,2025-03-11 03:45,0.0551,KWH,V,MSCONS
83482028030,2025-02-10 09:30,0.0752,KWH,V,MSCONS
65400074314,2025-03-07 09:00,0.0813,KWH,V,MSCONS
13733263538,2025-03-24 14:45,0.4714,KWH,V,MSCONS
64853594978,2025-04-21 13:15,0.0672,KWH,V,MSCONS
94391268065,24.04.2025 04:30,"0,043",KWH,V,MSCONS
17417694597,2025-02-22 15:45,"0,6261",KWH,V,MSCONS
17417694597,2025-03-15 17:45,1.3316,KWH,V,MSCONS
17417694597,2025-04-22 00:00,0.5082,KWH,V,MSCONS
58143754480,2025-03-14 19:45,0.2486,KWH,V,MSCONS
55457754991,2025-03-16 03:45,0.1849,KW,V,MSCONS
66586652381,2025-02-04 19:15,1.1131,KWH,V,MSCONS
91797430928,2025-04-17 05:30,0.5571,KWH,V,MSCONS
65400074314,07.02.2025 15:45,"0,0772",KWH,V,MSCONS
58143754480,2025-03-01 16:00,0.0955,KWH,V,MSCONS
52784051030,2025-03-03 23:45,0.0462,KWH,V,MSCONS
61804172126,2025-04-15 04:15,0.9276,KWH,V,MSCONS
04014447556,2025-04-22 21:30,0.1312,KWH,V,MSCONS
38141832343,07.03.2025 15:00,0.4926,KWH,V,MSCONS
64853594978,2025-02-05 11:30,"0,0699",KWH,V,MSCONS
51451020772,2025-04-03 09:15,0.5746,KWH,V,MSCONS
02060690718,2025-04-06 17:45,1.2585,KWH,V,MSCONS
17417694597,2025-04-06 07:15,1.2045,KWH,V,MSCONS
52784051030,2025-03-20 20:15,0.137,KWH,V,MSCONS
55457754991,2025-03-31 16:15,"0,2206",KW,V,MSCONS
61804172126,2025-04-16 21:45,0.9681,KWH,V,MSCONS
50096239004,2025-04-05 16:00,0.3557,KWH,V,MSCONS
19554292257,2025-02-09 08:45,"0,6103",KWH,V,MSCONS
65720280897,2025-03-27 20:45,0.8505,KWH,V,MSCONS
15096034392,2025-04-14 00:00,"0,7097",KWH,V,MSCONS
83482028030,2025-03-03 10:00,0.0532,KWH,V,MSCONS
04014447556,2025-04-16 23:30,0.0606,KWH,V,MSCONS
04014447556,2025-02-23 05:30,0.1123,KWH,V,MSCONS
94391268065,2025-02-06 01:15,0.0421,KWH,V,MSCONS
02060690718,2025-04-27 19:45,0.7953,KWH,V,MSCONS
19754516392,2025-03-26 04:45,0.9732,KWH,V,MSCONS
65400074314,20.04.2025 07:45,0.1056,KWH,V,MSCONS
45855425961,2025-03-26 03:45,0.6259,KWH,V,MSCONS
02378447181,2025-03-12 06:45,1.0825,KWH,V,MSCONS
55457754991,2025-03-24 21:15,"0,4551",KW,V,MSCONS
38141832343,2025-03-06 00:15,0.8211,KWH,V,MSCONS
61804172126,2025-02-18 14:15,0.7076,KWH,V,MSCONS
91797430928,2025-03-26 07:15,"0,7268",KWH,V,MSCONS
15096034392,2025-04-30 20:15,0.5954,KWH,V,MSCONS
07412179067,12.02.2025 09:30,0.5932,KWH,V,MSCONS
51451020772,2025-04-18 16:30,0.6992,KWH,V,MSCONS
02060690718,2025-03-14 23:30,"1,0869",KWH,V,MSCONS
66586652381,2025-04-24 00:00,0.3052,KWH,V,MSCONS
02060690718,2025-03-21 03:00,3.3381,KWH,V,MSCONS
13733263538,03.04.2025 09:15,0.494,KWH,V,MSCONS
02060690718,2025-04-24 04:30,0.4974,KWH,V,MSCONS
51451020772,2025-02-05 17:15,1.1672,KWH,V,MSCONS
83482028030,2025-02-17 14:30,"0,0727",KWH,V,MSCONS
91797430928,2025-02-10 23:00,0.6997,KWH,V,MSCONS
64853594978,2025-02-21 17:45,0.1259,KWH,V,MSCONS
64853594978,2025-03-03 12:30,"0,066",KWH,V,MSCONS
66586652381,2025-03-08 21:15,0.8193,KWH,V,MSCONS
15096034392,2025-03-08 03:15,0.9158,KWH,V,MSCONS
02060690718,2025-03-23 18:45,1.4306,KWH,V,MSCONS
07412179067,2025-02-20 08:45,0.5686,KWH,V,MSCONS
61804172126,2025-02-06 19:15,1.6449,KWH,V,MSCONS
58143754480,2025-03-23 19:00,"0,2752",KWH,V,MSCONS
48126289103,2025-02-13 08:00,0.6321,KW,V,MSCONS
91797430928,2025-02-09 00:00,0.6584,KWH,V,MSCONS
83482028030,28.02.2025 20:15,0.1445,KWH,V,MSCONS
17417694597,2025-02-08 16:30,1.1465,KWH,V,MSCONS
94391268065,2025-02-22 22:45,0.0844,KWH,V,MSCONS
49114475696,2025-02-12 02:30,1.0319,KWH,V,MSCONS
70348049725,2025-02-10 14:00,0.0849,KWH,V,MSCONS
07412179067,14.02.2025 00:30,0.8971,KWH,V,MSCONS
70348049725,2025-04-13 05:00,0.0594,KWH,V,MSCONS
