malo_id,dso_name,stage,event_ts,message_type,error_code,note
83482028030,SWM Infrastruktur,CONTRACT_SIGNED,2024-11-22 00:00:00,,,
59028472520,Netze BW,UTILMD_SENT,2025-02-12 00:00:00,UTILMD,,
61804172126,Netze BW,UTILMD_SENT,2024-10-09 00:00:00,UTILMD,,
02060690718,Stromnetz Berlin,CONTRL_ACK,2024-09-14 00:00:00,CONTRL,,
58143754480,Netz Leipzig,CONTRL_ACK,2024-10-02 00:00:00,CONTRL,,
69410910768,Stromnetz Hamburg,CONTRL_ACK,2025-03-18 00:00:00,CONTRL,,
51451020772,Netz Leipzig,FIRST_INVOICE,2025-04-07 00:00:00,INVOIC,,
64853594978,Netz Leipzig,UTILMD_SENT,2025-02-23 00:00:00,UTILMD,,
15096034392,Stromnetz Berlin,FIRST_INVOICE,2025-04-08 00:00:00,INVOIC,,
64853594978,Netz Leipzig,CONTRL_ACK,2025-02-25 00:00:00,CONTRL,,
91797430928,Netz Leipzig,FIRST_INVOICE,2025-05-24 00:00:00,INVOIC,,
02378447181,Netz Leipzig,FIRST_INVOICE,2025-03-24 00:00:00,INVOIC,,
91797430928,Netz Leipzig,UTILMD_SENT,2025-03-08 00:00:00,UTILMD,,
94391268065,Stromnetz Berlin,UTILMD_SENT,2025-02-01 00:00:00,UTILMD,,
15096034392,Stromnetz Berlin,UTILMD_SENT,2025-02-08 00:00:00,UTILMD,,
70348049725,Netz Leipzig,FIRST_INVOICE,2025-04-21 00:00:00,INVOIC,,
52784051030,SWM Infrastruktur,CONTRACT_SIGNED,2024-12-22 00:00:00,,,
58143754480,Netz Leipzig,UTILMD_SENT,2024-09-30 00:00:00,UTILMD,,
45855425961,Netz Leipzig,SUPPLY_START,2024-11-23 00:00:00,UTILMD,,
64853594978,Netz Leipzig,CONTRACT_SIGNED,2025-02-19 00:00:00,,,
61804172126,Netze BW,CONTRACT_SIGNED,2024-10-05 00:00:00,,,
15096034392,Stromnetz Berlin,SUPPLY_START,2025-02-20 00:00:00,UTILMD,,
61804172126,Netze BW,CONTRL_ACK,2024-10-10 00:00:00,CONTRL,,
02060690718,Stromnetz Berlin,SUPPLY_START,2024-10-05 00:00:00,UTILMD,,
59028472520,Netze BW,SUPPLY_START,2025-03-02 00:00:00,UTILMD,,
58143754480,Netz Leipzig,UTILMD_SENT,2024-09-17 00:00:00,UTILMD,,
19554292257,Stromnetz Berlin,CONTRL_ACK,2024-10-31 00:00:00,CONTRL,,
07412179067,Netze BW,CONTRL_ACK,2024-12-08 00:00:00,CONTRL,,
53850487964,Rheinnetz,UTILMD_SENT,2024-12-10 00:00:00,UTILMD,,
19754516392,Stromnetz Berlin,UTILMD_SENT,2024-12-20 00:00:00,UTILMD,,
51451020772,Netz Leipzig,SUPPLY_START,2025-02-21 00:00:00,UTILMD,,
07412179067,Netze BW,SUPPLY_START,2024-12-28 00:00:00,UTILMD,,
50096239004,Netz Leipzig,CONTRACT_SIGNED,2025-01-19 00:00:00,,,
02378447181,Netz Leipzig,CONTRACT_SIGNED,2025-01-08 00:00:00,,,
53850487964,Rheinnetz,APERAK_REJECT,2024-12-23 00:00:00,APERAK,E_0031,Metering point not yet commissioned
51451020772,Netz Leipzig,APERAK_REJECT,2025-01-24 00:00:00,APERAK,E_0001,MaLo-ID unknown at DSO
45855425961,Netz Leipzig,FIRST_INVOICE,2025-01-04 00:00:00,INVOIC,,
49114475696,Stromnetz Hamburg,APERAK_REJECT,2024-10-06 00:00:00,APERAK,E_0001,MaLo-ID unknown at DSO
55457754991,Stromnetz Berlin,SUPPLY_START,2025-01-12 00:00:00,UTILMD,,
02060690718,Stromnetz Berlin,CONTRACT_SIGNED,2024-09-09 00:00:00,,,
17417694597,Rheinnetz,FIRST_INVOICE,2025-04-28 00:00:00,INVOIC,,
19754516392,Stromnetz Berlin,CONTRACT_SIGNED,2024-12-18 00:00:00,,,
02378447181,Netz Leipzig,UTILMD_SENT,2025-01-11 00:00:00,UTILMD,,
49114475696,Stromnetz Hamburg,CONTRL_ACK,2024-10-15 00:00:00,CONTRL,,
58143754480,Netz Leipzig,APERAK_REJECT,2024-09-28 00:00:00,APERAK,E_0001,MaLo-ID unknown at DSO
04014447556,Stromnetz Berlin,SUPPLY_START,2025-04-14 00:00:00,UTILMD,,
51451020772,Netz Leipzig,CONTRACT_SIGNED,2025-01-16 00:00:00,,,
61804172126,Netze BW,SUPPLY_START,2024-10-21 00:00:00,UTILMD,,
51451020772,Netz Leipzig,CONTRL_ACK,2025-01-31 00:00:00,CONTRL,,
70348049725,Netz Leipzig,CONTRL_ACK,2025-02-02 00:00:00,CONTRL,,
19754516392,Stromnetz Berlin,SUPPLY_START,2025-01-15 00:00:00,UTILMD,,
83482028030,SWM Infrastruktur,CONTRL_ACK,2024-11-24 00:00:00,CONTRL,,
