date,building_id,building_name,country,strategy,battery_type,eu_compliant,avg_soc_start_percent,avg_soc_end_percent,charge_kwh,discharge_kwh,pv_generation_kwh,round_trip_efficiency_percent,daily_net_savings_eur,daily_co2_avoided_kg,battery_health_percent,total_cycles_cumulative,total_cost_avoided_eur,total_co2_avoided_kg
2023-01-01,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,80.0,10.0,0.0,149.09,41.32,94.5,57.2228,56.6533,100.0,0.7454000000000001,57.2228,56.6533
2023-01-02,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,150.77,145.01,40.04,94.5,52.1317,55.1038,100.0,1.4705000000000001,109.3545,111.75710000000001
2023-01-03,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,133.58,123.87,57.37,94.5,44.2007,47.072,100.0,2.0899,153.5552,158.8291
2023-01-04,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,141.9,147.18,53.4,94.5,53.6821,55.9267,99.99,2.8258000000000005,207.2373,214.7558
2023-01-05,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,142.38,142.1,38.7,94.5,51.4573,53.9979,99.99,3.5362999999999998,258.6946,268.7537
2023-01-06,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,130.71,140.35,45.98,94.5,51.512,53.3327,99.99,4.238,310.2066,322.0864
2023-01-07,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,148.19,147.5,57.27,94.5,46.3227,56.0494,99.99,4.9755,356.5293,378.1358
2023-01-08,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,139.7,133.6,63.84,94.5,41.5771,50.7673,99.99,5.6435,398.1064,428.9031
2023-01-09,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,143.6,119.43,41.5,94.5,41.5844,45.3817,99.99,6.240600000000001,439.69079999999997,474.2848
2023-01-10,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,139.56,142.32,66.48,94.5,51.7499,54.0831,99.99,6.9522,491.4407,528.3679
2023-01-11,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,137.66,148.34,70.94,94.5,54.4779,56.3681,99.99,7.6939,545.9186,584.736
2023-01-12,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,132.86,142.24,46.95,94.5,52.1802,54.0523,99.98,8.4051,598.0988,638.7883
2023-01-13,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.78,135.84,74.88,94.5,49.0049,51.6189,99.98,9.0843,647.1037,690.4072
2023-01-14,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,137.41,138.55,63.99,94.5,43.6358,52.6485,99.98,9.777000000000001,690.7395,743.0557
2023-01-15,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,145.78,134.66,62.81,94.5,41.5637,51.1724,99.98,10.4503,732.3032,794.2281
2023-01-16,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,128.75,131.34,57.34,94.5,47.7589,49.9093,99.98,11.107000000000001,780.0621,844.1374
2023-01-17,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,149.67,155.14,60.66,94.5,56.5827,58.9549,99.98,11.8827,836.6448,903.0923
2023-01-18,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.83,122.03,53.83,94.5,42.6217,46.3698,99.98,12.492799999999999,879.2665,949.4621
2023-01-19,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,141.84,130.62,68.27,94.5,46.5387,49.6354,99.98,13.1459,925.8052,999.0975
2023-01-20,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.36,139.3,71.64,94.5,50.5277,52.9336,99.98,13.8424,976.3329,1052.0311
2023-01-21,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,135.17,127.56,92.01,94.5,39.575,48.4736,99.97,14.4802,1015.9079,1100.5047
2023-01-22,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,134.18,126.12,55.6,94.5,39.0903,47.9257,99.97,15.1108,1054.9982,1148.4304
2023-01-23,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,134.99,135.36,78.19,94.5,49.063,51.4384,99.97,15.7876,1104.0612,1199.8688
2023-01-24,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,150.41,143.52,57.43,94.5,51.5137,54.5382,99.97,16.5052,1155.5749,1254.407
2023-01-25,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,141.68,129.78,78.37,94.5,46.1881,49.3165,99.97,17.1541,1201.763,1303.7235
2023-01-26,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,143.3,141.54,85.35,94.5,51.15,53.7837,99.97,17.861800000000002,1252.913,1357.5072
2023-01-27,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,145.2,136.92,62.29,94.5,49.0269,52.0306,99.97,18.546400000000002,1301.9399,1409.5378
2023-01-28,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,131.34,141.35,101.41,94.5,45.1315,53.7115,99.97,19.2531,1347.0714,1463.2493
2023-01-29,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,146.21,145.56,96.89,94.5,45.7154,55.3123,99.96,19.9809,1392.7868,1518.5616
2023-01-30,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,140.27,127.79,75.51,94.5,45.4248,48.5584,99.96,20.6198,1438.2116,1567.12
2023-01-31,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,138.53,143.54,70.9,94.5,52.3444,54.5435,99.96,21.3375,1490.556,1621.6635
2023-02-01,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,156.55,147.78,82.17,94.5,52.925,56.1555,99.96,22.0764,1543.481,1677.819
2023-02-02,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,130.33,127.54,94.72,94.5,46.0079,48.4644,99.96,22.7141,1589.4889,1726.2834
2023-02-03,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,145.05,139.4,82.96,94.5,50.1081,52.9733,99.96,23.4111,1639.597,1779.2567
2023-02-04,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,150.17,133.58,104.83,94.5,40.8434,50.7611,99.96,24.079,1680.4404,1830.0178
2023-02-05,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,144.85,121.52,119.34,94.5,36.5839,46.1781,99.96,24.6866,1717.0243,1876.1959
2023-02-06,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,152.04,129.5,103.79,94.5,45.3474,49.2097,99.95,25.3341,1762.3717,1925.4056
2023-02-07,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,134.63,157.79,102.12,94.5,58.7687,59.96,99.95,26.123,1821.1404,1985.3656
2023-02-08,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,146.02,130.11,123.8,94.5,46.03,49.4426,99.95,26.773600000000002,1867.1704,2034.8082
2023-02-09,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,139.68,131.88,94.1,94.5,47.2333,50.1146,99.95,27.433000000000003,1914.4037,2084.9228
2023-02-10,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,126.56,136.37,95.38,94.5,50.0833,51.8214,99.95,28.114900000000002,1964.487,2136.7442
2023-02-11,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,135.17,135.94,107.16,94.5,42.792,51.6591,99.95,28.7946,2007.279,2188.4033
2023-02-12,B001,Berliner Bürogebäude Alpha,DE,peak_shaving,LFP,True,10.0,10.0,150.11,130.73,128.87,94.5,39.7522,49.6761,99.95,29.4482,2047.0312,2238.0794
